signal,lag,corr
signal_rss_apple,-7,
signal_rss_apple,-6,
signal_rss_apple,-5,
signal_rss_apple,-4,
signal_rss_apple,-3,
signal_rss_apple,-2,
signal_rss_apple,-1,
signal_rss_apple,0,
signal_rss_apple,1,
signal_rss_apple,2,
signal_rss_apple,3,
signal_rss_apple,4,
signal_rss_apple,5,
signal_rss_apple,6,
signal_rss_apple,7,
signal_rss_bitcoin,-7,
signal_rss_bitcoin,-6,
signal_rss_bitcoin,-5,
signal_rss_bitcoin,-4,
signal_rss_bitcoin,-3,
signal_rss_bitcoin,-2,
signal_rss_bitcoin,-1,
signal_rss_bitcoin,0,
signal_rss_bitcoin,1,
signal_rss_bitcoin,2,
signal_rss_bitcoin,3,
signal_rss_bitcoin,4,
signal_rss_bitcoin,5,
signal_rss_bitcoin,6,
signal_rss_bitcoin,7,
signal_rss_nvidia,-7,
signal_rss_nvidia,-6,
signal_rss_nvidia,-5,
signal_rss_nvidia,-4,
signal_rss_nvidia,-3,
signal_rss_nvidia,-2,
signal_rss_nvidia,-1,
signal_rss_nvidia,0,
signal_rss_nvidia,1,
signal_rss_nvidia,2,
signal_rss_nvidia,3,
signal_rss_nvidia,4,
signal_rss_nvidia,5,
signal_rss_nvidia,6,
signal_rss_nvidia,7,
signal_wiki_bitcoin,-7,
signal_wiki_bitcoin,-6,
signal_wiki_bitcoin,-5,
signal_wiki_bitcoin,-4,
signal_wiki_bitcoin,-3,
signal_wiki_bitcoin,-2,
signal_wiki_bitcoin,-1,
signal_wiki_bitcoin,0,
signal_wiki_bitcoin,1,
signal_wiki_bitcoin,2,
signal_wiki_bitcoin,3,
signal_wiki_bitcoin,4,
signal_wiki_bitcoin,5,
signal_wiki_bitcoin,6,
signal_wiki_bitcoin,7,
