timestamp,feature,window,correlation
2019-06-08T00:00:00.000000+0000,volume,10,0.46755144262159387
2019-09-26T00:00:00.000000+0000,open,40,-0.12642717724927569
2022-02-01T00:00:00.000000+0000,close,20,-0.27385965810437785
2019-08-18T00:00:00.000000+0000,open,40,-0.27417924001193605
2024-04-21T00:00:00.000000+0000,close,40,-0.4587247977265087
2025-01-02T00:00:00.000000+0000,low,40,-0.37762704653762275
2024-07-24T00:00:00.000000+0000,volume,40,0.09223047098676256
2024-11-30T00:00:00.000000+0000,low,20,-0.16827706785161703
2021-09-02T00:00:00.000000+0000,close,20,-0.39172997781012364
2018-03-14T00:00:00.000000+0000,close,40,-0.2295095522723314
2024-07-16T00:00:00.000000+0000,volume,20,0.022394501335658738
2019-04-26T00:00:00.000000+0000,high,40,-0.19475071579021436
2018-09-30T00:00:00.000000+0000,close,20,-0.48073437489318444
2025-07-09T00:00:00.000000+0000,high,40,-0.1409425627463111
2020-10-27T00:00:00.000000+0000,close,20,-0.15040323305998465
2020-11-21T00:00:00.000000+0000,close,40,-0.04635894497918649
2020-12-20T00:00:00.000000+0000,low,40,-0.18033795402080163
2018-10-19T00:00:00.000000+0000,low,20,-0.4180533788602519
2021-01-17T00:00:00.000000+0000,volume,40,-0.17810224739982677
2023-03-05T00:00:00.000000+0000,open,10,-0.24767973860493325
2025-11-01T00:00:00.000000+0000,high,10,-0.7445618091913085
2025-06-07T00:00:00.000000+0000,open,40,-0.29045560127298364
2021-03-12T00:00:00.000000+0000,close,40,-0.3029210158656566
2019-09-12T00:00:00.000000+0000,low,10,-0.5182807226000788
2022-08-26T00:00:00.000000+0000,high,10,-0.30956720106004326
2018-05-22T00:00:00.000000+0000,open,10,-0.4202296425514084
2024-04-18T00:00:00.000000+0000,close,40,-0.38168744868317916
2023-12-25T00:00:00.000000+0000,volume,40,0.18566069645470565
2019-06-01T00:00:00.000000+0000,open,10,-0.45002217884609685
2025-09-27T00:00:00.000000+0000,open,20,-0.2541985329134301
