feature,metric,score,p_value,n_effective
close,spearman,-0.030714846397174523,0.09371570448548885,2979
low,spearman,-0.02949360439504993,0.10751976920634773,2979
high,spearman,-0.028628717176367096,0.11823476320500631,2979
open,spearman,-0.02786281275439814,0.12840663953267234,2979
close,pearson,-0.022497442637688558,0.21961395059265978,2979
low,pearson,-0.021922723449243252,0.2316229838765642,2979
high,pearson,-0.021352003809080713,0.24400252105422168,2979
open,pearson,-0.020967279237342863,0.25260534648589267,2979
volume,pearson,0.003308579802031107,0.856754004509678,2979
volume,spearman,0.0011710070974144911,0.9490601886757505,2979
