timestamp,feature,window,correlation
2022-12-28T00:00:00.000000+0000,open,40,-0.3507495992975931
2021-08-23T00:00:00.000000+0000,open,20,-0.43249153400671525
2024-07-08T00:00:00.000000+0000,close,20,-0.32339537227460485
2021-07-07T00:00:00.000000+0000,open,20,-0.3518873492952378
2020-08-28T00:00:00.000000+0000,high,10,-0.05052897473671164
2023-02-10T00:00:00.000000+0000,low,20,-0.1746010019428879
2024-03-30T00:00:00.000000+0000,volume,40,-0.2021646978433211
2021-06-12T00:00:00.000000+0000,low,10,-0.6185615513332235
2024-01-07T00:00:00.000000+0000,close,20,-0.389243767202699
2021-06-17T00:00:00.000000+0000,close,40,-0.3869185974362151
2022-08-10T00:00:00.000000+0000,volume,20,-0.11307288664337274
2019-07-12T00:00:00.000000+0000,log_returns_1d,10,0.9998054645650067
2020-07-03T00:00:00.000000+0000,close,20,-0.33695036104723414
2018-11-13T00:00:00.000000+0000,log_returns_1d,20,0.9998940189357453
2022-12-30T00:00:00.000000+0000,close,20,-0.3506795784565422
2024-09-08T00:00:00.000000+0000,close,40,-0.39658152402932734
2018-04-07T00:00:00.000000+0000,low,20,-0.2337790260530223
2022-03-26T00:00:00.000000+0000,log_returns_1d,40,0.9992792303541903
2020-01-09T00:00:00.000000+0000,volume,40,0.05053231812610575
2022-08-14T00:00:00.000000+0000,low,40,-0.30238099648377276
2024-02-21T00:00:00.000000+0000,high,20,-0.27365926005735036
2020-06-05T00:00:00.000000+0000,open,40,-0.4053109216127849
2025-01-18T00:00:00.000000+0000,close,40,-0.3148476972127402
2021-08-20T00:00:00.000000+0000,log_returns_1d,20,0.999934746722385
2020-04-27T00:00:00.000000+0000,high,20,-0.1663233932771495
2024-12-03T00:00:00.000000+0000,low,20,-0.45242453008204525
2020-08-21T00:00:00.000000+0000,high,10,-0.5150073439574245
2023-07-19T00:00:00.000000+0000,volume,40,0.04312823700734208
2026-02-25T00:00:00.000000+0000,low,20,-0.32489167709481725
2019-03-09T00:00:00.000000+0000,open,20,-0.06217419408213134
2023-08-03T00:00:00.000000+0000,low,20,-0.10282484291319131
2023-09-09T00:00:00.000000+0000,low,40,-0.17197161706622427
2019-02-18T00:00:00.000000+0000,low,10,-0.11242672852873604
2019-06-10T00:00:00.000000+0000,low,40,-0.3251649158148566
2019-07-01T00:00:00.000000+0000,volume,40,-0.27015249113249423
2024-09-22T00:00:00.000000+0000,high,40,-0.2316100567283088
2025-10-12T00:00:00.000000+0000,close,20,-0.3158005802941712
2019-10-18T00:00:00.000000+0000,open,20,-0.2859952567521894
2020-01-07T00:00:00.000000+0000,volume,20,-0.21540907264561326
2021-09-17T00:00:00.000000+0000,open,10,-0.0719998828916087
2021-11-21T00:00:00.000000+0000,log_returns_1d,40,0.9997875814553455
2026-01-22T00:00:00.000000+0000,log_returns_1d,40,0.9998875044528917
2025-12-11T00:00:00.000000+0000,log_returns_1d,10,0.999965837914012
2022-06-02T00:00:00.000000+0000,open,40,-0.13276459311600536
2020-03-01T00:00:00.000000+0000,low,20,-0.1627088497144594
2023-11-08T00:00:00.000000+0000,low,20,-0.4237649660930717
2020-04-06T00:00:00.000000+0000,low,40,-0.24970054217638665
2022-12-03T00:00:00.000000+0000,high,10,-0.31149429338540613
2022-04-19T00:00:00.000000+0000,close,20,-0.2824141524350367
2018-08-28T00:00:00.000000+0000,close,20,-0.1489494994590279
2021-05-17T00:00:00.000000+0000,open,20,0.21678060388440712
2020-01-12T00:00:00.000000+0000,low,20,-0.12320180425071531
2023-01-15T00:00:00.000000+0000,high,40,0.2736805774238968
2024-08-13T00:00:00.000000+0000,close,40,-0.2652390896254354
2024-10-14T00:00:00.000000+0000,log_returns_1d,20,0.999882555257794
2024-09-16T00:00:00.000000+0000,log_returns_1d,40,0.9998692379744385
2025-12-07T00:00:00.000000+0000,high,10,-0.574068038852081
2023-10-08T00:00:00.000000+0000,high,20,-0.1830109902782796
2019-01-09T00:00:00.000000+0000,log_returns_1d,20,0.9996413367989574
2022-02-07T00:00:00.000000+0000,close,20,-0.20382766386574683
2019-04-20T00:00:00.000000+0000,high,10,-0.13480756580038886
2020-09-07T00:00:00.000000+0000,log_returns_1d,40,0.999701812172339
2019-08-11T00:00:00.000000+0000,volume,10,-0.18300098597571454
2022-04-17T00:00:00.000000+0000,log_returns_1d,10,0.9998890863041268
2025-10-22T00:00:00.000000+0000,open,10,-0.7785364273006811
2023-06-10T00:00:00.000000+0000,volume,10,0.4205685874377677
2023-12-11T00:00:00.000000+0000,volume,10,0.26587700679255155
2019-04-16T00:00:00.000000+0000,open,10,-0.027182775018867126
2025-11-10T00:00:00.000000+0000,close,40,-0.19762775247481582
2025-02-02T00:00:00.000000+0000,low,10,-0.5965343079740464
2018-10-19T00:00:00.000000+0000,high,20,-0.36211596146453756
2022-04-19T00:00:00.000000+0000,log_returns_1d,20,0.9999037134823734
2024-06-18T00:00:00.000000+0000,open,20,-0.1370348709552705
2022-11-03T00:00:00.000000+0000,high,20,-0.1727721950812838
2020-12-28T00:00:00.000000+0000,log_returns_1d,10,0.9998941712576069
2020-05-28T00:00:00.000000+0000,low,20,-0.5531603425124002
2024-06-25T00:00:00.000000+0000,high,10,-0.06346675489643169
2018-10-04T00:00:00.000000+0000,close,40,-0.24465340649580375
2022-04-05T00:00:00.000000+0000,volume,40,-0.1098213115914377
2022-01-24T00:00:00.000000+0000,close,40,-0.025319931004130134
2021-11-25T00:00:00.000000+0000,high,40,-0.19780884763800052
2021-04-05T00:00:00.000000+0000,low,20,-0.3280541724029886
2018-11-24T00:00:00.000000+0000,close,40,0.23957651418541287
2021-07-05T00:00:00.000000+0000,high,20,-0.4565716370850895
2018-10-13T00:00:00.000000+0000,volume,20,0.10143538312632332
2023-10-02T00:00:00.000000+0000,low,10,-0.1004742179085914
2021-08-03T00:00:00.000000+0000,low,20,-0.1911658953997943
2023-11-16T00:00:00.000000+0000,high,20,-0.2387838185742301
2021-06-20T00:00:00.000000+0000,log_returns_1d,20,0.9992750431018117
2021-07-05T00:00:00.000000+0000,high,10,-0.8327660965950917
2022-11-21T00:00:00.000000+0000,volume,20,-0.16289327768837308
