feature,n_effective,metric,score,p_value,best_lag
close,2979,pearson,-0.022497442637688558,0.21961395059265978,
close,2979,spearman,-0.030714846397174523,0.09371570448548885,
high,2979,pearson,-0.021352003809080713,0.24400252105422168,
high,2979,spearman,-0.028628717176367096,0.11823476320500631,
log_returns_1d,2979,pearson,0.9980635396793285,0.0,
log_returns_1d,2979,spearman,1.0,0.0,
low,2979,pearson,-0.021922723449243252,0.2316229838765642,
low,2979,spearman,-0.02949360439504993,0.10751976920634773,
open,2979,pearson,-0.020967279237342863,0.25260534648589267,
open,2979,spearman,-0.02786281275439814,0.12840663953267234,
volume,2979,pearson,0.003308579802031107,0.856754004509678,
volume,2979,spearman,0.0011710070974144911,0.9490601886757505,
close,2979,best_lag,-0.022497442637688558,0.21961395059265978,0
high,2979,best_lag,-0.021352003809080713,0.24400252105422168,0
log_returns_1d,2979,best_lag,0.9980635396793285,0.0,0
low,2979,best_lag,-0.021922723449243252,0.2316229838765642,0
open,2978,best_lag,-0.02224796972285091,0.22484867511656462,-1
volume,2976,best_lag,0.02224865878790913,0.22499019105082618,-3
close,2979,mutual_information,0.026825475350263694,,
high,2979,mutual_information,0.02223371091945836,,
log_returns_1d,2979,mutual_information,6.722601641034754,,
low,2979,mutual_information,0.02410248099187573,,
open,2979,mutual_information,0.01406857031096198,,
volume,2979,mutual_information,0.03143061588497709,,
