feature,negative_corr,positive_corr,delta,dominant_side,n_negative,n_positive
close,-0.07357382950621491,-0.18766187279134056,-0.11408804328512565,positive,32,42
signal_trends_bitcoin,-0.1833601541778815,0.5451779789284027,-0.36181782475052116,positive,32,42
signal_trends_bitcoin_crash,-0.19392659180693578,0.5323559582138785,-0.3384293664069427,positive,32,42
signal_trends_bitcoin_crash_delta,-0.10545993978842841,0.28491836510341395,-0.17945842531498554,positive,32,41
signal_trends_bitcoin_crash_pct_change,-0.09480617575807941,0.19047753041588458,-0.09567135465780517,positive,32,41
signal_trends_bitcoin_delta,-0.12278217039529385,0.43084517818237794,-0.30806300778708406,positive,32,41
signal_trends_bitcoin_pct_change,-0.1530446779410503,0.35297622778522997,-0.19993154984417966,positive,32,41
signal_trends_buy_bitcoin,-0.06357654950004216,0.5922495563886662,-0.5286730068886241,positive,32,42
signal_trends_buy_bitcoin_delta,0.01937947041948581,0.47086830743679847,-0.4514888370173127,positive,32,41
signal_trends_buy_bitcoin_pct_change,-0.011758267305898133,0.32488173342089177,-0.31312346611499364,positive,32,41
signal_trends_crypto,-0.14806228040348746,0.05378198521092745,0.09428029519256001,negative,32,42
signal_trends_crypto_delta,0.21445293820306235,0.25462523082913713,-0.040172292626074774,none,32,41
signal_trends_crypto_pct_change,0.18066957266549788,0.42668711154683575,-0.24601753888133787,positive,32,41
signal_trends_fear_ratio,-0.25590481030635553,0.21122781310234373,0.044676997204011804,none,32,42
