feature,metric,estimate,lower,upper,p_value_max_stat,n_boot,n_effective
close,pearson,0.034716792146495985,-0.0888756160966446,0.17958949583292255,0.55,200,74
signal_trends_bitcoin,pearson,0.3336101284951819,-0.025554273003962825,0.6158295427552131,0.675,200,74
signal_trends_bitcoin_crash,pearson,0.20470099551051768,-0.18662451928974091,0.5771278476064582,0.71,200,74
signal_trends_bitcoin_crash_delta,pearson,0.08407123838179605,-0.38737777187021094,0.42029205450797624,0.955,200,73
signal_trends_bitcoin_crash_pct_change,pearson,0.008154851556868625,-0.29084293574888465,0.28816218321709464,0.96,200,73
signal_trends_bitcoin_delta,pearson,0.26952761503324063,-0.1077825677955264,0.5376601310899835,0.585,200,73
signal_trends_bitcoin_pct_change,pearson,0.31039832135783685,-0.032238195860937756,0.5658429570171013,0.7,200,73
signal_trends_buy_bitcoin,pearson,0.3621645129230578,-0.04901430173762224,0.6601820807396831,0.6,200,74
signal_trends_buy_bitcoin_delta,pearson,0.2783119665958843,-0.04737077137779565,0.5289435147986911,0.555,200,73
signal_trends_buy_bitcoin_pct_change,pearson,0.27753447108908075,-0.033766981923522565,0.5092324949620669,0.605,200,73
signal_trends_crypto,pearson,-0.00956642514653395,-0.19521572797787143,0.215831159693088,0.435,200,74
signal_trends_crypto_delta,pearson,0.2753681688478934,0.09770795775067266,0.4041263036760461,0.64,200,73
signal_trends_crypto_pct_change,pearson,0.4009890156015845,0.15529790999561216,0.6131732960609693,0.505,200,73
signal_trends_fear_ratio,pearson,0.012139260079181612,-0.24566790460982163,0.3326902125825463,0.805,200,74
