feature,metric,score,p_value,n_effective,best_lag
close,pearson,-0.042100605658755536,0.7217242216785219,74,
close,spearman,-0.008189559422436134,0.9447898144595888,74,
signal_trends_bitcoin,pearson,0.26031732188914153,0.025092138538464093,74,
signal_trends_bitcoin,spearman,0.12139355966108388,0.30286691600120336,74,
signal_trends_bitcoin_crash,pearson,0.1497280721893993,0.20292117789054098,74,
signal_trends_bitcoin_crash,spearman,0.0692525313310255,0.5576771515581781,74,
signal_trends_bitcoin_crash_delta,pearson,0.022860807305027778,0.8477604976104487,73,
signal_trends_bitcoin_crash_delta,spearman,-0.13586782421041568,0.2517358901436118,73,
signal_trends_bitcoin_crash_pct_change,pearson,-0.006479751009042019,0.9566100913154968,73,
signal_trends_bitcoin_crash_pct_change,spearman,-0.05821418003382376,0.6246911342260516,73,
signal_trends_bitcoin_delta,pearson,0.24275007432201406,0.03851589167362157,73,
signal_trends_bitcoin_delta,spearman,0.04926931758809288,0.6789157393499806,73,
signal_trends_bitcoin_pct_change,pearson,0.23362598401118698,0.046671379276032064,73,
signal_trends_bitcoin_pct_change,spearman,0.09859459136459833,0.4066079322773457,73,
signal_trends_buy_bitcoin,pearson,0.3486882942179821,0.002329644016386697,74,
signal_trends_buy_bitcoin,spearman,0.16945850666923834,0.1489129973968007,74,
signal_trends_buy_bitcoin_delta,pearson,0.28267361446360734,0.015387826745574769,73,
signal_trends_buy_bitcoin_delta,spearman,0.06888891282358586,0.5625102982193964,73,
signal_trends_buy_bitcoin_pct_change,pearson,0.2482295480347965,0.03421465983980239,73,
signal_trends_buy_bitcoin_pct_change,spearman,0.0970691384032624,0.41394195515117327,73,
signal_trends_crypto,pearson,-0.07390168100158666,0.5314724992034149,74,
signal_trends_crypto,spearman,-0.025980963068819713,0.8260823792066592,74,
signal_trends_crypto_delta,pearson,0.2660000152126121,0.022928395616929036,73,
signal_trends_crypto_delta,spearman,0.20642594307599652,0.0797414911462151,73,
signal_trends_crypto_pct_change,pearson,0.41345667122826807,0.0002772044485137232,73,
signal_trends_crypto_pct_change,spearman,0.25173847357520324,0.03167714923130424,73,
signal_trends_fear_ratio,pearson,-0.03556579962962327,0.7635402568269323,74,
signal_trends_fear_ratio,spearman,0.010664454921298241,0.928144321680151,74,
close,best_lag,-0.2004001235445449,0.09623259568178069,70,4
signal_trends_bitcoin,best_lag,0.26031732188914153,0.025092138538464093,74,0
signal_trends_bitcoin_crash,best_lag,0.25477159131120136,0.03202027720499278,71,-3
signal_trends_bitcoin_crash_delta,best_lag,-0.28850016387188715,0.0162149962959543,69,-5
signal_trends_bitcoin_crash_pct_change,best_lag,0.2509686801871866,0.03476560298254593,71,2
signal_trends_bitcoin_delta,best_lag,0.26455592680036033,0.024722015844018497,72,1
signal_trends_bitcoin_pct_change,best_lag,0.37659479106582067,0.001208024812308278,71,2
signal_trends_buy_bitcoin,best_lag,0.3486882942179821,0.002329644016386697,74,0
signal_trends_buy_bitcoin_delta,best_lag,0.31974784614265533,0.006182499465951231,72,1
signal_trends_buy_bitcoin_pct_change,best_lag,0.2811464344476153,0.01674201113505081,72,1
signal_trends_crypto,best_lag,-0.2596815291096091,0.02993703015847265,70,4
signal_trends_crypto_delta,best_lag,-0.3809487158875067,0.0012410021856082154,69,-5
signal_trends_crypto_pct_change,best_lag,0.41345667122826807,0.0002772044485137232,73,0
signal_trends_fear_ratio,best_lag,0.26379766277027006,0.026223974020737863,71,-3
close,mutual_information,0.08914387025461279,,74,
signal_trends_bitcoin,mutual_information,0.007364495588523923,,74,
signal_trends_bitcoin_crash,mutual_information,0.08189864084380272,,74,
signal_trends_bitcoin_crash_delta,mutual_information,0.0,,73,
signal_trends_bitcoin_crash_pct_change,mutual_information,0.0,,73,
signal_trends_bitcoin_delta,mutual_information,0.0,,73,
signal_trends_bitcoin_pct_change,mutual_information,0.0,,73,
signal_trends_buy_bitcoin,mutual_information,0.0,,74,
signal_trends_buy_bitcoin_delta,mutual_information,0.0,,73,
signal_trends_buy_bitcoin_pct_change,mutual_information,0.0,,73,
signal_trends_crypto,mutual_information,0.09377635900671644,,74,
signal_trends_crypto_delta,mutual_information,0.0002488054114739846,,73,
signal_trends_crypto_pct_change,mutual_information,0.12874244975256088,,73,
signal_trends_fear_ratio,mutual_information,0.038309706453456105,,74,
close,pearson_bootstrap,0.034716792146495985,,74,
signal_trends_bitcoin,pearson_bootstrap,0.3336101284951819,,74,
signal_trends_bitcoin_crash,pearson_bootstrap,0.20470099551051768,,74,
signal_trends_bitcoin_crash_delta,pearson_bootstrap,0.08407123838179605,,73,
signal_trends_bitcoin_crash_pct_change,pearson_bootstrap,0.008154851556868625,,73,
signal_trends_bitcoin_delta,pearson_bootstrap,0.26952761503324063,,73,
signal_trends_bitcoin_pct_change,pearson_bootstrap,0.31039832135783685,,73,
signal_trends_buy_bitcoin,pearson_bootstrap,0.3621645129230578,,74,
signal_trends_buy_bitcoin_delta,pearson_bootstrap,0.2783119665958843,,73,
signal_trends_buy_bitcoin_pct_change,pearson_bootstrap,0.27753447108908075,,73,
signal_trends_crypto,pearson_bootstrap,-0.00956642514653395,,74,
signal_trends_crypto_delta,pearson_bootstrap,0.2753681688478934,,73,
signal_trends_crypto_pct_change,pearson_bootstrap,0.4009890156015845,,73,
signal_trends_fear_ratio,pearson_bootstrap,0.012139260079181612,,74,
