feature,best_lag,best_corr,best_abs_corr,best_p,lead_lag,n_obs,n_effective
close,4,-0.2004001235445449,0.2004001235445449,0.09623259568178069,feature_leads,70,70
signal_trends_bitcoin,0,0.26031732188914153,0.26031732188914153,0.025092138538464093,synchronous,74,74
signal_trends_bitcoin_crash,-3,0.25477159131120136,0.25477159131120136,0.03202027720499278,target_leads,71,71
signal_trends_bitcoin_crash_delta,-5,-0.28850016387188715,0.28850016387188715,0.0162149962959543,target_leads,69,69
signal_trends_bitcoin_crash_pct_change,2,0.2509686801871866,0.2509686801871866,0.03476560298254593,feature_leads,71,71
signal_trends_bitcoin_delta,1,0.26455592680036033,0.26455592680036033,0.024722015844018497,feature_leads,72,72
signal_trends_bitcoin_pct_change,2,0.37659479106582067,0.37659479106582067,0.001208024812308278,feature_leads,71,71
signal_trends_buy_bitcoin,0,0.3486882942179821,0.3486882942179821,0.002329644016386697,synchronous,74,74
signal_trends_buy_bitcoin_delta,1,0.31974784614265533,0.31974784614265533,0.006182499465951231,feature_leads,72,72
signal_trends_buy_bitcoin_pct_change,1,0.2811464344476153,0.2811464344476153,0.01674201113505081,feature_leads,72,72
signal_trends_crypto,4,-0.2596815291096091,0.2596815291096091,0.02993703015847265,feature_leads,70,70
signal_trends_crypto_delta,-5,-0.3809487158875067,0.3809487158875067,0.0012410021856082154,target_leads,69,69
signal_trends_crypto_pct_change,0,0.41345667122826807,0.41345667122826807,0.0002772044485137232,synchronous,73,73
signal_trends_fear_ratio,-3,0.26379766277027006,0.26379766277027006,0.026223974020737863,target_leads,71,71
