feature,regime,correlation,p_value,n
close,bull,-0.18766187279134056,0.23400957312608386,42
close,bear,-0.07357382950621491,0.6890233525199471,32
signal_trends_bitcoin,bull,0.5451779789284027,0.00018890627126701295,42
signal_trends_bitcoin,bear,-0.1833601541778815,0.3151262803175456,32
signal_trends_bitcoin_crash,bull,0.5323559582138785,0.0002846623840824128,42
signal_trends_bitcoin_crash,bear,-0.19392659180693578,0.2875525514118368,32
signal_trends_bitcoin_crash_delta,bull,0.28491836510341395,0.07098421476578408,41
signal_trends_bitcoin_crash_delta,bear,-0.10545993978842841,0.5656686447050139,32
signal_trends_bitcoin_crash_pct_change,bull,0.19047753041588458,0.23291157450508537,41
signal_trends_bitcoin_crash_pct_change,bear,-0.09480617575807941,0.6057619347264356,32
signal_trends_bitcoin_delta,bull,0.43084517818237794,0.0049218973437307086,41
signal_trends_bitcoin_delta,bear,-0.12278217039529385,0.5031974905537431,32
signal_trends_bitcoin_pct_change,bull,0.35297622778522997,0.023594586842577963,41
signal_trends_bitcoin_pct_change,bear,-0.1530446779410503,0.403014492548824,32
signal_trends_buy_bitcoin,bull,0.5922495563886662,0.00003600360869743811,42
signal_trends_buy_bitcoin,bear,-0.06357654950004216,0.7295797998888811,32
signal_trends_buy_bitcoin_delta,bull,0.47086830743679847,0.0018893645521207477,41
signal_trends_buy_bitcoin_delta,bear,0.01937947041948581,0.9161576520152729,32
signal_trends_buy_bitcoin_pct_change,bull,0.32488173342089177,0.03821714061969687,41
signal_trends_buy_bitcoin_pct_change,bear,-0.011758267305898133,0.949073313402466,32
signal_trends_crypto,bull,0.05378198521092745,0.7351571613225744,42
signal_trends_crypto,bear,-0.14806228040348746,0.4186789526661067,32
signal_trends_crypto_delta,bull,0.25462523082913713,0.10814599286757719,41
signal_trends_crypto_delta,bear,0.21445293820306235,0.23854247597847988,32
signal_trends_crypto_pct_change,bull,0.42668711154683575,0.0054022021802827246,41
signal_trends_crypto_pct_change,bear,0.18066957266549788,0.3224021494100056,32
signal_trends_fear_ratio,bull,0.21122781310234373,0.179333786078985,42
signal_trends_fear_ratio,bear,-0.25590481030635553,0.15745353021440095,32
