feature,total,strength,consistency,regimeRobustness,significance,sampleSufficiency,directionality
close,14.1,8.4,0.0,39.2,0.0,41.1,0.0
signal_trends_bitcoin,31.7,52.1,10.8,33.6,29.7,41.1,11.7
signal_trends_bitcoin_crash,24.6,29.9,0.0,36.4,0.0,41.1,57.6
signal_trends_bitcoin_crash_delta,22.1,4.6,0.0,37.0,0.0,40.6,95.2
signal_trends_bitcoin_crash_pct_change,23.0,1.3,0.0,49.8,0.0,40.6,87.1
signal_trends_bitcoin_delta,32.0,48.6,0.0,28.5,23.0,40.6,66.9
signal_trends_bitcoin_pct_change,37.2,46.7,0.0,43.4,18.3,40.6,100.0
signal_trends_buy_bitcoin,39.4,69.7,1.4,10.7,83.7,41.1,28.4
signal_trends_buy_bitcoin_delta,32.4,56.5,0.0,4.1,29.7,40.6,88.9
signal_trends_buy_bitcoin_pct_change,26.8,49.6,0.0,3.6,23.0,40.6,61.7
signal_trends_crypto,22.6,14.8,0.0,36.3,0.0,41.1,74.9
signal_trends_crypto_delta,49.5,53.2,14.2,84.2,29.7,40.6,80.4
signal_trends_crypto_pct_change,51.4,82.7,19.0,42.3,96.1,40.6,0.0
signal_trends_fear_ratio,22.4,7.1,0.0,82.5,0.0,41.1,0.0
