feature,metric,score,p_value,n_effective
signal_trends_crypto_pct_change,pearson,0.41345667122826807,0.0002772044485137232,73
signal_trends_buy_bitcoin,pearson,0.3486882942179821,0.002329644016386697,74
signal_trends_buy_bitcoin_delta,pearson,0.28267361446360734,0.015387826745574769,73
signal_trends_crypto_delta,pearson,0.2660000152126121,0.022928395616929036,73
signal_trends_bitcoin,pearson,0.26031732188914153,0.025092138538464093,74
signal_trends_crypto_pct_change,spearman,0.25173847357520324,0.03167714923130424,73
signal_trends_buy_bitcoin_pct_change,pearson,0.2482295480347965,0.03421465983980239,73
signal_trends_bitcoin_delta,pearson,0.24275007432201406,0.03851589167362157,73
signal_trends_bitcoin_pct_change,pearson,0.23362598401118698,0.046671379276032064,73
signal_trends_crypto_delta,spearman,0.20642594307599652,0.0797414911462151,73
signal_trends_buy_bitcoin,spearman,0.16945850666923834,0.1489129973968007,74
signal_trends_bitcoin_crash,pearson,0.1497280721893993,0.20292117789054098,74
signal_trends_bitcoin_crash_delta,spearman,-0.13586782421041568,0.2517358901436118,73
signal_trends_bitcoin,spearman,0.12139355966108388,0.30286691600120336,74
signal_trends_bitcoin_pct_change,spearman,0.09859459136459833,0.4066079322773457,73
signal_trends_buy_bitcoin_pct_change,spearman,0.0970691384032624,0.41394195515117327,73
signal_trends_crypto,pearson,-0.07390168100158666,0.5314724992034149,74
signal_trends_bitcoin_crash,spearman,0.0692525313310255,0.5576771515581781,74
signal_trends_buy_bitcoin_delta,spearman,0.06888891282358586,0.5625102982193964,73
signal_trends_bitcoin_crash_pct_change,spearman,-0.05821418003382376,0.6246911342260516,73
