feature,n_effective,metric,score,p_value,best_lag
close,600,pearson,-0.0391197699115102,0.3387678190262635,
close,600,spearman,-0.028937913716426986,0.47925503515140133,
signal_macro,600,pearson,0.015105184951037633,0.7119418005006651,
signal_macro,600,spearman,-0.015602432228978414,0.7029018453501709,
signal_sentiment,600,pearson,-0.017610661832914213,0.6668281932028672,
signal_sentiment,600,spearman,-0.009107191964422123,0.8238319275924214,
signal_web,600,pearson,0.013351272909428072,0.7441439601978126,
signal_web,600,spearman,0.006023738954830429,0.88293902875924,
close,595,best_lag,0.1250772748364749,0.0022389414568137842,-5
signal_macro,597,best_lag,-0.037761398608164805,0.3570289708848277,-3
signal_sentiment,599,best_lag,0.050518639008061375,0.21697083737675202,1
signal_web,597,best_lag,0.9708749888635192,0.0,3
close,600,mutual_information,0.0,,
signal_macro,600,mutual_information,0.004772153809077029,,
signal_sentiment,600,mutual_information,0.013983160798977767,,
signal_web,600,mutual_information,0.034411962777200156,,
close,600,distance_correlation,0.05460572125073868,,
signal_macro,600,distance_correlation,0.07544344468491176,,
signal_sentiment,600,distance_correlation,0.05830006422312249,,
signal_web,600,distance_correlation,0.07102062789717412,,
