experiment_id,created_at,strategy_name,timeframe,universe_label,timerange,trades,profit_total_pct,profit_factor,max_drawdown_pct,status,split_label,idea_spec_id,robustness_score,robustness_flags,notes_short
20260220T110343Z_strat03rsibbmeanreversion-v3c_1h_top10,2026-02-20T11:03:43+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10,20250101-20260201,22,0.07948262199999996,1.1873360457101463,0.3395007950000035,success,,,,,PF > 1 con pocos trades: evidencia estadística limitada. pairs=10
20260220T111132Z_strat03rsibbmeanreversion-v3c_1h_top10,2026-02-20T11:11:32+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10,20250101-20260201,22,0.07948262199999996,1.1873360457101463,0.3395007950000035,success,,,,,PF>1 low trades; pairs=10
20260220T113326Z_strat03rsibbmeanreversion-v3c_1h_top20,2026-02-20T11:33:26+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20,20250101-20260201,43,0.15611712600000002,1.2164235838181934,0.21763206221214987,success,,,,,PF>1; pairs=20
20260220T115817Z_strat06volcompressionbreakout-v1_1h_top10,2026-02-20T11:58:17+00:00,Strat06VolCompressionBreakout_v1,1h,top10,20250101-20260201,213,-2.012635378,0.6089783919773005,2.1735815674820858,success,,,,,PF<1; pairs=10
20260220T115817Z_strat07donchianpullbacktrend-v1_1h_top10,2026-02-20T11:58:17+00:00,Strat07DonchianPullbackTrend_v1,1h,top10,20250101-20260201,249,-3.182147101,0.5187590137982752,3.2642370755931434,success,,,,,PF<1; pairs=10
20260220T120453Z_strat16dailyregimehourlypullback-v1_1h_top10,2026-02-20T12:04:53+00:00,Strat16DailyRegimeHourlyPullback_v1,1h,top10,20250101-20260201,814,-5.917034426,0.6353822838343364,5.964355832000001,success,,,,,PF<1; pairs=10
20260220T121013Z_strat03rsibbmeanreversion-v3c_30m_top10,2026-02-20T12:10:13+00:00,Strat03RSIBBMeanReversion_v3c,30m,top10,20250101-20260201,48,-0.649737781,0.1682442797393629,0.6650744450000048,success,,,,,PF<1; pairs=10
20260220T123024Z_strat17htftrendltfreversion-v1_1h_top10,2026-02-20T12:30:24+00:00,Strat17HTFTrendLTFReversion_v1,1h,top10,20250101-20260201,809,-6.865219531999999,0.530081391044602,6.904643583000006,success,,,,,PF<1; pairs=10
20260220T124508Z_strat18rsibbregimereclaim-v1_1h_top10,2026-02-20T12:45:08+00:00,Strat18RSIBBRegimeReclaim_v1,1h,top10,20250101-20260201,0,0.0,,0.0,partial,,,,,PF missing; pairs=10
20260220T124521Z_strat18rsibbregimereclaim-v1_1h_top10,2026-02-20T12:45:21+00:00,Strat18RSIBBRegimeReclaim_v1,1h,top10,20250101-20260201,184,-1.16084009,0.602440506456234,1.2815160971160988,success,,,,,PF<1; pairs=10
