pair,contribution_total_profit_pct,trades_total,winrate_pct,pf_avg_when_traded,presence_in_splits,positive_split_ratio_pct
ARB/USDT,0.67,13,92.3076923076923,0.35348693038492546,7,46.666666666666664
SNX/USDT,0.4,12,66.66666666666666,0.2566330935251799,11,53.333333333333336
AAVE/USDT,0.36,11,72.72727272727273,0.13620115204684857,10,53.333333333333336
SOL/USDT,0.20999999999999994,14,35.714285714285715,0.3105719022004303,13,33.33333333333333
BNB/USDT,0.2,4,100.0,0.0,4,26.666666666666668
BCH/USDT,0.059999999999999984,9,33.33333333333333,0.33087407933331964,8,20.0
ETH/USDT,0.009999999999999995,17,52.94117647058824,0.5564394702963644,9,20.0
ADA/USDT,0.0,0,0.0,,0,0.0
LTC/USDT,0.0,0,0.0,,0,0.0
UNI/USDT,0.0,0,0.0,,0,0.0
PAXG/USDT,-0.019999999999999997,10,40.0,0.11341875257531847,6,20.0
XRP/USDT,-0.09999999999999999,9,0.0,0.0,8,0.0
BTC/USDT,-0.24,16,0.0,0.0,10,0.0
OP/USDT,-0.24000000000000002,11,18.181818181818183,0.16455825676650823,10,13.333333333333334
TRX/USDT,-0.37000000000000005,30,0.0,0.0,13,0.0
