symbol,score,mentions,source,timestamp_utc
ETH,8.0,25,social_1h,2026-02-23T13:00:00+00:00
BTC,7.0,25,social_1h,2026-02-23T13:00:00+00:00
SOL,6.9,40,social_1h,2026-02-23T13:00:00+00:00
BNB,6.0,1,social_1h,2026-02-23T14:00:00+00:00
BNB,5.027027027027027,37,social_1h,2026-02-23T13:00:00+00:00
XRP,5.0,1,social_1h,2026-02-23T14:00:00+00:00
XRP,4.027027027027027,37,social_1h,2026-02-23T13:00:00+00:00
ARB,4.0,4,social_1h,2026-02-23T14:00:00+00:00
BNB,3.0,14,social_1h,2026-02-23T12:00:00+00:00
SOL,3.0,12,social_1h,2026-02-23T14:00:00+00:00
ARB,2.375,48,social_1h,2026-02-23T13:00:00+00:00
ETH,2.2222222222222223,27,social_1h,2026-02-23T14:00:00+00:00
XRP,2.0,14,social_1h,2026-02-23T12:00:00+00:00
BTC,0.868421052631579,39,social_1h,2026-02-23T14:00:00+00:00
UNKNOWN,0.0,96,social_1h,2026-02-23T22:06:58.197547+00:00
ARB,0.0,2,social_1h,2026-02-23T10:00:00+00:00
BNB,0.0,2,social_1h,2026-02-23T10:00:00+00:00
BTC,0.0,2,social_1h,2026-02-23T10:00:00+00:00
ETH,0.0,2,social_1h,2026-02-23T10:00:00+00:00
OP,0.0,2,social_1h,2026-02-23T10:00:00+00:00
SOL,0.0,2,social_1h,2026-02-23T10:00:00+00:00
UNKNOWN,0.0,2,social_1h,2026-02-23T10:00:00+00:00
XRP,0.0,2,social_1h,2026-02-23T10:00:00+00:00
