metric_mode,split_label,timerange,w_social,trades,winrate,pf_base,maxdd_base,proxy_score_base,pf,profit_pct,maxdd,proxy_score,delta_proxy_score,uplift_vs_base_pf,uplift_vs_base_profit_pct,social_coverage,social_diversity,social_hype_risk,split_rows,source_dominance_share,token_mapping_rate,active_hour_ratio,author_dominance_share,kol_coverage,kol_top1_share
proxy_structural_no_new_backtest,WF_A_TEST,20250601-20250930,0.0,3,100.0,0.0,0.0,0.0,0.01,0.179916,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_A_TEST,20250601-20250930,0.05,3,100.0,0.0,0.0,0.0,0.01,0.179916,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_A_TEST,20250601-20250930,0.1,3,100.0,0.0,0.0,0.0,0.01,0.179916,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_A_TEST,20250601-20250930,0.2,3,100.0,0.0,0.0,0.0,0.01,0.179916,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_A_TEST,20250601-20250930,0.3,3,100.0,0.0,0.0,0.0,0.01,0.179916,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_B_TEST,20250901-20251231,0.0,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_B_TEST,20250901-20251231,0.05,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_B_TEST,20250901-20251231,0.1,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_B_TEST,20250901-20251231,0.2,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_B_TEST,20250901-20251231,0.3,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
